Hectare,Shift,Date,Sighter Observed Weather Data,Temperature,Weather,Clear/Sunny,Cloudy,Precipitation,Windy,Humid
09B,PM,10132018,"54º F, Breeze, Cool",54º F,Breezy,No,No,No,Yes,No
09H,AM,10062018,"64º F, cloudy",64º F,Cloudy,No,Yes,No,No,No
10B,AM,10062018,"71º F, Cloudy",71º F,Cloudy,No,Yes,No,No,No
10C,PM,10132018,"56º F, Cloudy",56º F,Cloudy,No,Yes,No,No,No
10G,AM,10062018,"64º F, overcast",64º F,Overcast,No,Yes,No,No,No
10H,AM,10142018,"50º F, cloudy",50º F,Cloudy,No,Yes,No,No,No
11D,PM,10062018,"65º F, None",65º F,None,No,No,No,No,No
11H,PM,10132018,"55º F, sunny",55º F,Sunny,Yes,No,No,No,No
11I,PM,10122018,"58º F, sunny",58º F,Sunny,Yes,No,No,No,No
14G,PM,10132018,"55º F, sunny",55º F,Sunny,Yes,No,No,No,No
15A,AM,10072018,"71º F, Humid, Cloudy",71º F,Cloudy,No,Yes,No,No,Yes
15D,AM,10072018,"71º F, Humid, Cloudy",71º F,Cloudy,No,Yes,No,No,Yes
15I,PM,10122018,"58º F, sunny",58º F,Sunny,Yes,No,No,No,No
16H,PM,10142018,"Cool, Dusk",,Dusk,No,No,No,No,No
16I,PM,10142018,"Cool, Dusk",,Dusk,No,No,No,No,No
17C,AM,10182018,"Low 40s, Windy, Sunny",40º F,Sunny,Yes,No,No,Yes,No
18D,AM,10182018,"Low 40s, Windy, Sunny",40º F,Sunny,Yes,No,No,Yes,No
18F,PM,10082018,"Cloudy, misting rain",,Cloudy,No,Yes,Yes,No,No
18F,AM,10142018,"49º F, None",49º F,None,No,No,No,No,No
18G,AM,10142018,"49º F, Sunny",49º F,Sunny,Yes,No,No,No,No
19B,PM,10182018,"51º F, Clear",51º F,Clear,Yes,No,No,No,No
19C,PM,10182018,"51º F, Clear",51º F,Clear,Yes,No,No,No,No
20E,PM,10062018,"65º F, Light Drizzle",65º F,Light Drizzle,No,Yes,Yes,No,No
21A,AM,10192018,"Clear, Calm, No Wind",,Clear,Yes,No,No,No,No
21A,PM,10062018,"65º F, Drizzle",65º F,Drizzle,No,Yes,Yes,No,No
21B,AM,10192018,"Mid 40s, Clear, No Wind",40º F,Clear,Yes,No,No,No,No
21C,PM,10062018,"65º F, Drizzling",65º F,Drizzle,No,Yes,Yes,No,No
21D,AM,10082018,"70º F, Cloudy, Misty",70º F,Cloudy,No,Yes,Yes,No,No
22A,AM,10082018,"70º F, Cloudy",70º F,Cloudy,No,Yes,No,No,No
22C,PM,10062018,"65º F, Drizzling",65º F,Drizzle,No,Yes,Yes,No,No
22F,AM,10072018,"72º F, Foggy",72º F,Foggy,No,Yes,Yes,No,No
22I,AM,10072018,"72º F, Foggy",72º F,Foggy,No,Yes,Yes,No,No
23G,PM,10122018,"Artsy lighting, breezy",,Breezy,No,No,No,Yes,No
24A,PM,10072018,"80º F, Humid. Overcast. No rain.",80º F,Overcast,No,Yes,No,No,Yes
24I,PM,10072018,"Humid. Overcast.",80º F,Overcast,No,Yes,No,No,Yes
25A,PM,10072018,"79º F, Humid. Overcast. No rain.",79º F,Overcast,No,Yes,No,No,Yes
27B,PM,10062018,"Misty, rain, cool",,Rain,No,Yes,Yes,No,No
27I,PM,10202018,"60º F, Sunny",60º F,Sunny,Yes,No,No,No,No
30H,PM,10062018,"Raining",,Rain,No,Yes,Yes,No,No
32D,AM,10132018,"48º F, sprinkling",48º F,Sprinkling,No,Yes,Yes,No,No
33A,AM,10082018,"65º F, drizzle",65º F,Drizzle,No,Yes,Yes,No,No
34B,AM,10132018,"50º F, light rain",50º F,Light Rain,No,Yes,Yes,No,No
34D,AM,10082018,"65º F, drizzle",65º F,Drizzle,No,Yes,Yes,No,No
37A,PM,10132018,"55º F, mostly cloudy",55º F,Mostly Cloudy,No,Yes,No,No,No
37G,AM,10142018,"50º F, mostly sunny",50º F,Mostly Sunny,Yes,No,No,No,No
39G,PM,10132018,"Sunny, cloudy, chilly, damp, slightly warm",,Cloudy,No,Yes,Yes,No,No
39I,PM,10132018,"53º F, mostly cloudy",53º F,Mostly Cloudy,No,Yes,No,No,No
40B,PM,10142018,"57º F, cloudy",57º F,Cloudy,No,Yes,No,No,No
40C,PM,10062018,"Overcast, light rain",,Light Rain,No,Yes,Yes,No,No
40E,PM,10172018,"63º F, Partly Cloudy",63º F,Partly Cloudy,No,Yes,No,No,No
40G,PM,10132018,"55º F, partly cloudy",55º F,Partly Cloudy,No,Yes,No,No,No
40I,PM,10132018,"55º F, partly cloudy, chilly, breezy, some sun",55º F,Partly Cloudy,No,Yes,No,Yes,No
41B,AM,10102018,"Humid",,Humid,No,No,No,No,Yes
41E,PM,10132018,"55º F, partly cloudy",55º F,Partly Cloudy,No,Yes,No,No,No
42F,PM,10172018,"62º F, Partly Sunny/Cloudy",62º F,Partly Sunny/Cloudy,No,Yes,No,No,No
42G,PM,10142018,"57º F, overcast",57º F,Overcast,No,Yes,No,No,No
04G,AM,10062018,"65º F, cloudy, sprinkling of rain",65º F,Sprinkling,No,Yes,Yes,No,No
06G,AM,10082018,"68º F, humid",68º F,Humid,No,No,No,No,Yes
07F,AM,10082018,"68º F, chilly, humid",68º F,Humid,No,No,No,No,Yes
08A,AM,10132018,"55º F, rainy",55º F,Rainy,No,Yes,Yes,No,No
08B,AM,10072018,"70º F, Muggy",70º F,Muggy,No,No,No,No,Yes
12G,PM,10072018,"80º F",80º F,None,No,No,No,No,No
12H,PM,10072018,"79º F",79º F,None,No,No,No,No,No
